Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
air,road,case,program,event,paper,minute,,law,power
point,moment,,,child,student,time,hand,home,rate
fact,business,service,,mother,life,moment,time,business,air
house,reason,head,room,power,music,case,fact,work,service
person,house,day,,,information,level,family,road,
law,hour,problem,thing,area,year,,door,guy,
thing,study,point,girl,money,,idea,hand,day,
student,,hand,research,room,study,hand,,minute,end
week,,mother,money,company,teacher,week,market,issue,money
program,field,face,water,face,minute,girl,right,power,
issue,world,eye,company,,guy,,mother,,hand
member,result,number,,student,week,teacher,group,life,girl
work,service,line,form,community,,way,word,form,reason
road,,health,end,government,person,water,line,month,right
,book,car,story,,word,money,point,,story
road,member,business,paper,fact,,issue,market,,name
,time,member,way,data,hand,field,table,side,hand
information,,point,,state,city,state,home,company,part
health,,student,child,hand,job,point,road,problem,night
,reason,,moment,,guy,place,data,rate,
health,,business,business,,,,,home,data
month,family,word,head,year,power,product,government,table,study
,program,family,person,team,rate,time,question,,question
,group,community,,hand,idea,form,moment,reason,
woman,teacher,student,work,day,,health,case,class,friend
,result,information,day,,,name,team,,idea
team,field,moment,world,,office,water,service,money,class
,,case,part,hour,man,month,paper,night,kind
,end,,game,point,system,group,,,food
,,story,point,food,rate,night,,,state
guy,market,system,man,,,,place,room,
hand,water,,kind,money,moment,research,water,business,book
door,city,,,company,problem,man,power,water,part
,question,level,moment,market,rate,,line,,class
car,water,member,,child,health,question,food,rate,
music,guy,word,family,line,problem,company,city,idea,door
,head,water,student,,person,,form,,rate
food,service,place,line,hour,point,,time,level,
month,thing,door,city,name,game,room,event,,
hand,word,hour,program,water,issue,form,love,reason,head
team,,door,market,,,,guy,day,level
fact,fact,woman,work,week,girl,place,,rate,field
company,,table,music,result,name,way,area,teacher,program
food,part,money,table,business,,door,eye,fact,information
car,head,book,minute,time,law,head,view,money,service
eye,night,,home,study,,city,view,love,hour
information,,,data,,,,group,book,word
,,game,side,way,question,place,head,girl,night
,,system,field,hour,,result,view,team,
right,,,house,office,eye,question,system,,community
